data_e_hora_gmt,correcao_chuva,correcao_nivel,total_chuva_dois_dias,total_chuva_tres_dias,ocorrencia_alagamento
2022-01-01T00:00:00,0.0,0.60636,,,0.60636
2022-01-01T00:15:00,0.19999999999999574,0.60475,,,0.60475
2022-01-01T00:30:00,0.0,0.6033400000000001,,,0.6033400000000001
2022-01-01T00:45:00,0.0,0.60209,,,0.60209
2022-01-01T01:00:00,0.0,0.6012,,,0.6012
2022-01-01T01:15:00,0.3999999999999986,0.59951,,,0.59951
2022-01-01T01:30:00,0.20000000000000284,0.59989,,,0.59989
2022-01-01T01:45:00,0.0,0.6,,,0.6
2022-01-01T02:00:00,0.3999999999999986,0.6015400000000001,,,0.6015400000000001
2022-01-01T02:15:00,0.0,0.60415,,,0.60415
2022-01-01T02:30:00,0.3999999999999986,0.6049100000000001,,,0.6049100000000001
2022-01-01T02:45:00,0.0,0.60675,,,0.60675
2022-01-01T03:00:00,0.0,0.60702,,,0.60702
2022-01-01T03:15:00,0.0,0.60769,,,0.60769
2022-01-01T03:30:00,0.0,0.60728,,,0.60728
2022-01-01T03:45:00,0.20000000000000284,0.60507,,,0.60507
2022-01-01T04:00:00,0.20000000000000284,0.60194,,,0.60194
2022-01-01T04:15:00,0.19999999999999574,0.60087,,,0.60087
2022-01-01T04:30:00,0.0,0.59999,,,0.59999
2022-01-01T04:45:00,0.20000000000000284,0.60053,,,0.60053
2022-01-01T05:00:00,0.0,0.60246,,,0.60246
2022-01-01T05:15:00,0.0,0.60457,,,0.60457
2022-01-01T05:30:00,0.0,0.6063900000000001,,,0.6063900000000001
2022-01-01T05:45:00,0.0,0.59525,,,0.59525
2022-01-01T06:00:00,0.0,0.59518,,,0.59518
2022-01-01T06:15:00,0.0,0.5928300000000001,,,0.5928300000000001
2022-01-01T06:30:00,0.0,0.58996,,,0.58996
2022-01-01T06:45:00,0.0,0.5879500000000001,,,0.5879500000000001
2022-01-01T07:00:00,0.0,0.58326,,,0.58326
2022-01-01T07:15:00,0.0,0.58372,,,0.58372
2022-01-01T07:30:00,0.19999999999999574,0.58367,,,0.58367
2022-01-01T07:45:00,0.0,0.5837100000000001,,,0.5837100000000001
2022-01-01T08:00:00,0.20000000000000284,0.58373,,,0.58373
2022-01-01T08:15:00,0.0,0.58683,,,0.58683
2022-01-01T08:30:00,0.0,0.58714,,,0.58714
2022-01-01T08:45:00,0.0,0.58887,,,0.58887
2022-01-01T09:00:00,0.20000000000000284,0.59073,,,0.59073
2022-01-01T09:15:00,0.0,0.5927300000000001,,,0.5927300000000001
2022-01-01T09:30:00,0.0,0.59404,,,0.59404
2022-01-01T09:45:00,0.0,0.5926400000000001,,,0.5926400000000001
2022-01-01T10:00:00,0.0,0.59036,,,0.59036
2022-01-01T10:15:00,0.0,0.5895,,,0.5895
2022-01-01T10:30:00,0.0,0.58818,,,0.58818
2022-01-01T10:45:00,0.0,0.58762,,,0.58762
2022-01-01T11:00:00,0.0,0.5872999999999999,,,0.5872999999999999
2022-01-01T11:15:00,0.0,0.58449,,,0.58449
2022-01-01T11:30:00,0.0,0.5855,,,0.5855
2022-01-01T11:45:00,0.0,0.58575,,,0.58575
2022-01-01T12:00:00,0.3999999999999986,0.58753,,,0.58753
2022-01-01T12:15:00,0.0,0.58997,,,0.58997
2022-01-01T12:30:00,0.19999999999999574,0.59037,,,0.59037
2022-01-01T12:45:00,0.0,0.58602,,,0.58602
2022-01-01T13:00:00,0.0,0.58646,,,0.58646
2022-01-01T13:15:00,0.0,0.58616,,,0.58616
2022-01-01T13:30:00,0.0,0.58628,,,0.58628
2022-01-01T13:45:00,0.0,0.58616,,,0.58616
2022-01-01T14:00:00,0.0,0.58656,,,0.58656
2022-01-01T14:15:00,0.0,0.58709,,,0.58709
2022-01-01T14:30:00,0.0,0.58732,,,0.58732
2022-01-01T14:45:00,0.0,0.5895,,,0.5895
2022-01-01T15:00:00,0.20000000000000284,0.58951,,,0.58951
2022-01-01T15:15:00,0.20000000000000284,0.58824,,,0.58824
2022-01-01T15:30:00,0.0,0.58919,,,0.58919
2022-01-01T15:45:00,0.0,0.59399,,,0.59399
2022-01-01T16:00:00,0.0,0.59428,,,0.59428
2022-01-01T16:15:00,0.0,0.5948599999999999,,,0.5948599999999999
2022-01-01T16:30:00,0.0,0.5946,,,0.5946
2022-01-01T16:45:00,0.0,0.59487,,,0.59487
2022-01-01T17:00:00,0.0,0.59406,,,0.59406
2022-01-01T17:15:00,0.0,0.5910799999999999,,,0.5910799999999999
2022-01-01T17:30:00,0.0,0.59299,,,0.59299
2022-01-01T17:45:00,0.0,0.5939300000000001,,,0.5939300000000001
2022-01-01T18:00:00,0.0,0.57149,,,0.57149
2022-01-01T18:15:00,0.0,0.57126,,,0.57126
2022-01-01T18:30:00,0.0,0.57129,,,0.57129
2022-01-01T18:45:00,0.0,0.5716,,,0.5716
2022-01-01T19:00:00,0.0,0.57138,,,0.57138
2022-01-01T19:15:00,0.0,0.57083,,,0.57083
2022-01-01T19:30:00,0.0,0.57099,,,0.57099
2022-01-01T19:45:00,0.0,0.57076,,,0.57076
2022-01-01T20:00:00,4.199999999999996,0.61802,,,0.61802
2022-01-01T20:15:00,0.8000000000000043,0.64393,,,0.64393
2022-01-01T20:30:00,0.19999999999999574,0.80893,,,0.80893
2022-01-01T20:45:00,0.20000000000000284,0.9489000000000001,,,0.9489000000000001
2022-01-01T21:00:00,0.19999999999999574,0.85038,,,0.85038
2022-01-01T21:15:00,0.0,0.74265,,,0.74265
2022-01-01T21:30:00,0.0,0.6793899999999999,,,0.6793899999999999
2022-01-01T21:45:00,0.0,0.65226,,,0.65226
2022-01-01T22:00:00,0.0,0.6423300000000001,,,0.6423300000000001
2022-01-01T22:15:00,0.0,0.62753,,,0.62753
2022-01-01T22:30:00,0.0,0.6115,,,0.6115
2022-01-01T22:45:00,0.0,0.59991,,,0.59991
2022-01-01T23:00:00,0.0,0.59224,,,0.59224
2022-01-01T23:15:00,0.0,0.58813,,,0.58813
2022-01-01T23:30:00,0.0,0.5854699999999999,,,0.5854699999999999
2022-01-01T23:45:00,0.0,0.58312,,,0.58312
2022-01-02T00:00:00,0.0,0.58137,,,0.58137
2022-01-02T00:15:00,0.0,0.57983,,,0.57983
2022-01-02T00:30:00,0.0,0.5789500000000001,,,0.5789500000000001
2022-01-02T00:45:00,0.0,0.57785,,,0.57785
2022-01-02T01:00:00,0.0,0.5774600000000001,,,0.5774600000000001
2022-01-02T01:15:00,0.0,0.5771200000000001,,,0.5771200000000001
2022-01-02T01:30:00,0.0,0.57618,,,0.57618
2022-01-02T01:45:00,0.0,0.57589,,,0.57589
2022-01-02T02:00:00,0.0,0.5753199999999999,,,0.5753199999999999
2022-01-02T02:15:00,0.0,0.57475,,,0.57475
2022-01-02T02:30:00,0.0,0.57426,,,0.57426
2022-01-02T02:45:00,0.0,0.57398,,,0.57398
2022-01-02T03:00:00,0.0,0.57393,,,0.57393
