DATA E HORA UTC;CHUVA (mm);NIVEL (m);CHUVA CORRIGIDA;NIVEL CORRIGIDO;EXTRAVASAMENTO
01/01/2020 00:00;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 00:15;;;0,00; 0,70 ;NÃO
01/01/2020 00:30;;;0,00; 0,69 ;NÃO
01/01/2020 00:45;0;0,69;0,00; 0,69 ;NÃO
01/01/2020 01:00;0;0,68;0,00; 0,68 ;NÃO
01/01/2020 01:15;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 01:30;0;0,67;0,00; 0,67 ;NÃO
01/01/2020 01:45;0;0,69;0,00; 0,69 ;NÃO
01/01/2020 02:00;0;0,69;0,00; 0,69 ;NÃO
01/01/2020 02:15;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 02:30;0;0,68;0,00; 0,68 ;NÃO
01/01/2020 02:45;0;0,69;0,00; 0,69 ;NÃO
01/01/2020 03:00;0;0,67;0,00; 0,67 ;NÃO
01/01/2020 03:15;0;0,69;0,00; 0,69 ;NÃO
01/01/2020 03:30;0;0,68;0,00; 0,68 ;NÃO
01/01/2020 03:45;0;0,68;0,00; 0,68 ;NÃO
01/01/2020 04:00;0;0,69;0,00; 0,69 ;NÃO
01/01/2020 04:15;;69,00;0,00; 0,69 ;NÃO
01/01/2020 04:30;;;0,00; 0,69 ;NÃO
01/01/2020 04:45;;;0,00; 0,69 ;NÃO
01/01/2020 05:00;;;0,00; 0,69 ;NÃO
01/01/2020 05:15;0;0,69;0,00; 0,69 ;NÃO
01/01/2020 05:30;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 05:45;0;0,68;0,00; 0,68 ;NÃO
01/01/2020 06:00;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 06:15;0;0,67;0,00; 0,67 ;NÃO
01/01/2020 06:30;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 06:45;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 07:00;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 07:15;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 07:30;0;0,68;0,00; 0,68 ;NÃO
01/01/2020 07:45;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 08:00;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 08:15;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 08:30;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 08:45;0;0,67;0,00; 0,67 ;NÃO
01/01/2020 09:00;0;0,68;0,00; 0,68 ;NÃO
01/01/2020 09:15;0;0,69;0,00; 0,69 ;NÃO
01/01/2020 09:30;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 09:45;0;0,69;0,00; 0,69 ;NÃO
01/01/2020 10:00;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 10:15;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 10:30;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 10:45;0;0,68;0,00; 0,68 ;NÃO
01/01/2020 11:00;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 11:15;0;0,70;0,00; 0,70 ;NÃO
01/01/2020 11:30;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 11:45;0;0,68;0,00; 0,68 ;NÃO
01/01/2020 12:00;;;0,00; 0,69 ;NÃO
01/01/2020 12:15;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 12:30;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 12:45;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 13:00;0;0,71;0,00; 0,71 ;NÃO
01/01/2020 13:15;0;0,73;0,00; 0,73 ;NÃO
01/01/2020 13:30;0;0,72;0,00; 0,72 ;NÃO
01/01/2020 13:45;0;0,71;0,00; 0,71 ;NÃO
